TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO,T+ Time,Acceleration
5063,18:40:01,1,F,LAUNCH_WAIT,52,N,N,N,47,48,18:40:01,44,47,48,47,12,52,CXON,0,36
5063,18:40:02,2,F,LAUNCH_WAIT,44,N,N,N,31,14,18:40:02,43,31,18,31,49,44,CXON,1,99
5063,18:40:03,3,F,LAUNCH_WAIT,100,N,N,N,10,0,18:40:03,76,10,65,10,80,100,CXON,2,34
5063,18:40:04,4,F,LAUNCH_WAIT,39,N,N,N,14,68,18:40:04,96,14,16,14,56,39,CXON,3,78
5063,18:40:05,5,F,LAUNCH_WAIT,64,N,N,N,3,72,18:40:05,77,3,23,3,8,64,CXON,4,92
5063,18:40:06,6,F,LAUNCH_WAIT,83,N,N,N,45,9,18:40:06,74,45,52,45,6,83,CXON,5,62
5063,18:40:07,7,F,LAUNCH_WAIT,16,N,N,N,33,38,18:40:07,57,33,5,33,5,16,CXON,6,71
5063,18:40:08,8,F,LAUNCH_WAIT,73,N,N,N,58,20,18:40:08,73,58,87,58,34,73,CXON,7,25
5063,18:40:09,9,F,LAUNCH_WAIT,9,N,N,N,45,79,18:40:09,19,45,94,45,47,9,CXON,8,64
5063,18:40:10,10,F,LAUNCH_WAIT,86,N,N,N,45,89,18:40:10,36,45,10,45,58,86,CXON,9,88
5063,18:40:11,11,F,LAUNCH_WAIT,79,N,N,N,40,69,18:40:11,1,40,10,40,84,79,CXON,10,38
5063,18:40:12,12,F,LAUNCH_WAIT,29,N,N,N,4,45,18:40:12,58,4,75,4,94,29,CXON,11,22
5063,18:40:13,13,F,LAUNCH_WAIT,71,N,N,N,43,11,18:40:13,77,43,64,43,1,71,CXON,12,84
5063,18:40:14,14,F,LAUNCH_WAIT,88,N,N,N,18,51,18:40:14,93,18,3,18,54,88,CXON,13,58
5063,18:40:15,15,F,LAUNCH_WAIT,22,N,N,N,99,67,18:40:15,46,99,92,99,56,22,CXON,14,72
5063,18:40:17,16,F,LAUNCH_WAIT,46,N,N,N,96,70,18:40:17,88,96,51,96,70,46,CXON,15,90
5063,18:40:18,17,F,LAUNCH_WAIT,79,N,N,N,77,50,18:40:18,52,77,1,77,72,79,CXON,16,99
5063,18:40:19,18,F,LAUNCH_WAIT,17,N,N,N,93,78,18:40:19,58,93,21,93,78,17,CXON,17,2
